wavelength_um,resolution_R
1.5144927536231882, 182.60869565217388
1.519927536231884, 183.22981366459624
1.5253623188405796, 184.47204968944106
1.5307971014492756, 185.4037267080746
1.536231884057971, 186.33540372670808
1.5416666666666667, 187.26708074534173
1.546195652173913, 188.19875776397515
1.5507246376811592, 188.8198757763975
1.556159420289855, 190.06211180124222
1.559782608695652, 190.68322981366464
1.5643115942028984, 191.304347826087
1.568840579710145, 192.5465838509316
1.5742753623188401, 193.4782608695652
1.5788043478260865, 194.40993788819867
1.5842391304347825, 195.6521739130435
1.589673913043478, 196.58385093167698
1.5951086956521738, 197.2049689440994
1.6005434782608694, 198.44720496894405
1.6059782608695652, 199.68944099378888
1.6114130434782608, 200.62111801242247
1.6168478260869563, 201.86335403726713
1.6213768115942027, 202.79503105590055
1.6259057971014492, 204.03726708074532
